Initial
From IP     To IP        Hex                           Description
You         192.168.0.8  81 09 04 48 FF                Focus?
192.168.0.8 You          90 50 00 06 05 05 FF          0,6,5,5
192.168.0.8 You
You         192.168.0.8  81 09 06 12 FF                Pan, Tilt?
192.168.0.8 You          90 50 00 00 00 00 00 00 00 0 00000,0000
192.168.0.8 You
You         192.168.0.8  81 09 04 47 FF                Zoom ?
192.168.0.8 You          90 50 00 00 00 00 FF          0,0,0,0
192.168.0.8 You

Preset 1
From IP     To IP        Hex
You         192.168.0.8  81 01 04 3F 02 01 FF          Recall 1
192.168.0.8 You          90 42 FF 90 52 FF             Ack
192.168.0.8 You
You         192.168.0.8  81 09 04 48 FF                Focus?
192.168.0.8 You          90 50 00 06 05 04 FF          0,6,5,4
192.168.0.8 You
You         192.168.0.8  81 09 06 12 FF                Pan, Tilt?
192.168.0.8 You          90 50 00 00 09 0E 00 00 00 0 F009E,000F
192.168.0.8 You
You         192.168.0.8  81 09 04 47 FF                Zoom ?  192.168.0.8 You          90 50 00 00 00 00 FF          0,0,0,0
192.168.0.8 You



Preset 2
From IP     To IP        Hex
You         192.168.0.8  81 01 04 3F 02 02 FF          Recall 2
192.168.0.8 You          90 42 FF 90 52 FF             Ack
192.168.0.8 You
You         192.168.0.8  81 09 04 48 FF                Focus?
192.168.0.8 You          90 50 00 01 0D 0D FF          0,1,D,D
192.168.0.8 You
You         192.168.0.8  81 09 06 12 FF                Pan, Tilt?
192.168.0.8 You          90 50 00 00 00 0F 0F 0F 0B 0 9000F,FFB9
192.168.0.8 You
You         192.168.0.8  81 09 04 47 FF                Zoom ?
192.168.0.8 You          90 50 02 0F 0F 0D FF          2,F,F,D
192.168.0.8 You

Preset 3
From IP     To IP        Hex
You         192.168.0.8  81 01 04 3F 02 03 FF          Recall 3
192.168.0.8 You          90 42 FF 90 52 FF             Ack
192.168.0.8 You
You         192.168.0.8  81 09 04 48 FF                Focus?
192.168.0.8 You          90 50 00 02 05 05 FF          0,2,5,5
192.168.0.8 You
You         192.168.0.8  81 09 06 12 FF                Pan, Tilt?
192.168.0.8 You          90 50 00 00 07 05 0F 0F 0B 0 60075,FFB6
192.168.0.8 You
You         192.168.0.8  81 09 04 47 FF                Zoom ?
192.168.0.8 You          90 50 02 0A 0E 02 FF          2,A,E,2
192.168.0.8 You
